konsert_datum,konsert_namn,lokal_namn,konsert_biljettpris,konserttyp_namn,Producer,normalized_konsert_datum
1908-01-02,brüssel kvartetten beethovenafton,kungliga musikaliska akademiens lokal,,kammarmusikkonsert,brüssel stråkkvartetten brussels string quartet,1908 01 02
1908-01-05,afskedskonsert,immanuelskyrkan,,kyrkokonsert,bohlin carl. director,1908 01 05
1908-01-05,folk konsert,arbetare institutet klara norra kyrkogata 8,,folkkonsert,,1908 01 05
1908-01-05,populärkonsert,vetenskapsakademiens hörsal,,populärkonsert,hansson axel,1908 01 05
1908-01-06,2:a populära symfoni matinéen,berns salong,1kr till salongen 1:50kr till läktaren,konsert,berns,1908 01 06
1908-01-06,jul fest med bal,grand restaurant nationals stora salong,1:25kr herre 1kr da 50öre barn,bal,lj. b.,1908 01 06
1908-01-06,populär soaré,vetenskapsakademiens hörsal,1kr reserverad plats 75öre övriga platser,populärkonsert,dahlberg erik,1908 01 06
1908-01-08,karlfeldts afton,kfum:s stora sal,1kr numrerade 50öre onumrerade,folkkonsert,stockholms borgareskola stockholm citizens' school,1908 01 08
1908-01-08,vis och sagoafton för stora och små ändradd dag från 8e till 9e,kfum:s stora sal,1:25kr numrerade 75öre onumrerade,barnkonsert,sjögren ebba mrs,1908 01 08
1908-01-12,folk konsert,arbetare institutet klara norra kyrkogata 8,,folkkonsert,arbetareinstitutet workers' institute,1908 01 12
1908-01-12,populärkonsert,vetenskapsakademiens hörsal,,populärkonsert,,1908 01 12
1908-01-14,populär sångafton,kfum:s stora sal,1kr numrerade 50öre onumrerade,viskonsert,lundberg anna,1908 01 14
1908-01-15,svensk musikafton: geijer lindblad afton,kfum:s stora sal,1:50kr 1kr 50öre,konsert,borgarskolans serier borgarskolan series,1908 01 15
1908-01-16,familjeafton med särskilt utvalt musikprogram,berns salong,fri entré,barnkonsert,berns,1908 01 16
1908-01-17,konsert,vetenskapsakademiens hörsal,2:50kr 2kr 1:50kr,konsert,petzold hanka mrs,1908 01 17
1908-01-17,populär sångafton,kfum:s stora sal,1kr numrerade 50öre onumrerade,populärkonsert,lundberg anna,1908 01 17
1908-01-18,lördagskonsert,vetenskapsakademiens hörsal,75öre till salen 50öre till läktaren,konsert,lördagskonsertserien,1908 01 18
1908-01-19,rytmiska koraler,skansen,50öre hälften barn,utomhuskonsert,skansen skansen (open air museum and historical park),1908 01 19
1908-01-19,typografiska föreningen kyrkokonsert,gustav vasa kyrkan,1kr,kyrkokonsert,typografiska föreningen typographical association,1908 01 19
1908-01-22,wennerberg afton,kfum:s stora sal,1:50kr 1kr samt onumrerade 50öre,konsert,borgarskolans serier borgarskolan series,1908 01 22
1908-01-22,wennerberg afton,kfum:s stora sal,1:50kr 1kr samt onumrerade 50öre,folkkonsert,stockholms borgareskola stockholm citizens' school,1908 01 22
1908-01-23,familjeafton med särskilt utvalt musikprogram,berns salong,fri entré,barnkonsert,berns,1908 01 23
