index,best_match_index,best_match_score,column_scores
666,0.0,31.6,"{'konsert_namn': 23, 'lokal_namn': 17, 'konsert_biljettpris': 100, 'konserttyp_namn': 56, 'Producer': 0}"
668,0.0,37.2,"{'konsert_namn': 38, 'lokal_namn': 17, 'konsert_biljettpris': 100, 'konserttyp_namn': 52, 'Producer': 0}"
671,0.0,52.7,"{'konsert_namn': 30, 'lokal_namn': 79, 'konsert_biljettpris': 0, 'konserttyp_namn': 55, 'Producer': 18}"
433,1.0,75.30000000000001,"{'konsert_namn': 53, 'lokal_namn': 100, 'konsert_biljettpris': 55, 'konserttyp_namn': 22, 'Producer': 32}"
488,1.0,75.30000000000001,"{'konsert_namn': 53, 'lokal_namn': 100, 'konsert_biljettpris': 55, 'konserttyp_namn': 22, 'Producer': 32}"
1022,1.0,47.0,"{'konsert_namn': 33, 'lokal_namn': 24, 'konsert_biljettpris': 0, 'konserttyp_namn': 42, 'Producer': 100}"
1023,1.0,66.2,"{'konsert_namn': 53, 'lokal_namn': 79, 'konsert_biljettpris': 0, 'konserttyp_namn': 70, 'Producer': 32}"
1024,4.0,70.39999999999999,"{'konsert_namn': 52, 'lokal_namn': 100, 'konsert_biljettpris': 0, 'konserttyp_namn': 48, 'Producer': 24}"
1027,3.0,66.30000000000001,"{'konsert_namn': 54, 'lokal_namn': 20, 'konsert_biljettpris': 100, 'konserttyp_namn': 67, 'Producer': 100}"
87,9.0,68.6,"{'konsert_namn': 49, 'lokal_namn': 90, 'konsert_biljettpris': 33, 'konserttyp_namn': 97, 'Producer': 0}"
1026,9.0,75.5,"{'konsert_namn': 35, 'lokal_namn': 85, 'konsert_biljettpris': 44, 'konserttyp_namn': 97, 'Producer': 67}"
1011,11.0,35.400000000000006,"{'konsert_namn': 23, 'lokal_namn': 46, 'konsert_biljettpris': 0, 'konserttyp_namn': 78, 'Producer': 0}"
657,12.0,43.2,"{'konsert_namn': 69, 'lokal_namn': 29, 'konsert_biljettpris': 0, 'konserttyp_namn': 40, 'Producer': 0}"
658,12.0,40.2,"{'konsert_namn': 61, 'lokal_namn': 22, 'konsert_biljettpris': 0, 'konserttyp_namn': 70, 'Producer': 0}"
659,12.0,37.2,"{'konsert_namn': 37, 'lokal_namn': 25, 'konsert_biljettpris': 0, 'konserttyp_namn': 56, 'Producer': 34}"
963,12.0,46.2,"{'konsert_namn': 71, 'lokal_namn': 25, 'konsert_biljettpris': 0, 'konserttyp_namn': 78, 'Producer': 0}"
964,12.0,45.7,"{'konsert_namn': 60, 'lokal_namn': 39, 'konsert_biljettpris': 0, 'konserttyp_namn': 61, 'Producer': 0}"
965,12.0,38.2,"{'konsert_namn': 55, 'lokal_namn': 30, 'konsert_biljettpris': 0, 'konserttyp_namn': 42, 'Producer': 0}"
656,13.0,63.2,"{'konsert_namn': 100, 'lokal_namn': 0, 'konsert_biljettpris': 100, 'konserttyp_namn': 100, 'Producer': 16}"
26,16.0,35.2,"{'konsert_namn': 49, 'lokal_namn': 39, 'konsert_biljettpris': 0, 'konserttyp_namn': 0, 'Producer': 0}"
